ad_id;anno_esame;ses_id;num_iscritti
10670;2019;2;4
10670;2017;3;5
10670;2017;3;10
10670;2017;4;7
10670;2019;1;13
10670;2019;1;19
10670;2014;3;10
10670;2014;3;2
10670;2015;5;0
10670;2016;1;6
10670;2016;1;16
10670;2017;2;7
10670;2017;2;8
10670;2020;2;0
10670;2020;2;0
10670;2020;2;0
10670;2020;3;0
7005;2014;1;0
7006;2014;4;8
7006;2017;1;0
7006;2017;1;1
7006;2015;4;2
7006;2018;4;3
7006;2018;3;3
7006;2018;2;30
7006;2020;1;0
7006;2015;2;33
7006;2015;3;9
7006;2015;3;7
7006;2021;5;0
7006;2015;1;0
7006;2015;1;0
7006;2016;3;6
7006;2016;4;1
7006;2016;3;7
7006;2018;1;0
7006;2018;1;0
7006;2019;2;0
7006;2019;2;20
7006;2019;3;10
7006;2019;3;5
7006;2021;1;1
7006;2021;1;1
7006;2021;1;0
7006;2016;2;7
7006;2016;2;23
7006;2020;4;3
7006;2017;3;0
7006;2017;3;9
7006;2017;4;0
7006;2019;1;1
7006;2014;2;22
7006;2014;3;7
7006;2014;2;31
7006;2014;3;13
7006;2016;1;0
7006;2016;1;0
7006;2017;2;0
7006;2017;2;14
7006;2020;3;10
7006;2020;2;1
7006;2020;2;13
7006;2020;4;8
